doc_id,text,year,region,channel,synthetic
"synthetic-2023-0-0","The bus route needs more frequent service near the central station. Access matters for daily routines. Affordable housing remains difficult to find.","2023","north","survey","true"
"synthetic-2024-0-0","The bus route needs more frequent service near the central station. The current arrangement requires careful planning. Affordable housing remains difficult to find.","2024","north","survey","true"
"synthetic-2025-0-0","The bus route needs more frequent service near the central station. Participants compare several local options. Affordable housing remains difficult to find.","2025","north","survey","true"
"synthetic-2023-0-1","Commuters wait for crowded trains near the central station. Access matters for daily routines.","2023","south","forum","true"
"synthetic-2024-0-1","Commuters wait for crowded trains near the central station. The current arrangement requires careful planning.","2024","south","forum","true"
"synthetic-2025-0-1","Commuters wait for crowded trains near the central station. Participants compare several local options.","2025","south","forum","true"
"synthetic-2023-0-2","Residents request reliable public transport near the central station. Access matters for daily routines.","2023","south","survey","true"
"synthetic-2024-0-2","Residents request reliable public transport near the central station. The current arrangement requires careful planning.","2024","south","survey","true"
"synthetic-2025-0-2","Residents request reliable public transport near the central station. Participants compare several local options.","2025","south","survey","true"
"synthetic-2023-0-3","A new bicycle lane would improve the commute near the central station. Access matters for daily routines.","2023","north","forum","true"
"synthetic-2024-0-3","A new bicycle lane would improve the commute near the central station. The current arrangement requires careful planning.","2024","north","forum","true"
"synthetic-2025-0-3","A new bicycle lane would improve the commute near the central station. Participants compare several local options.","2025","north","forum","true"
"synthetic-2023-0-4","The bus route needs more frequent service in the western neighborhood. Access matters for daily routines.","2023","south","survey","true"
"synthetic-2024-0-4","The bus route needs more frequent service in the western neighborhood. The current arrangement requires careful planning.","2024","south","survey","true"
"synthetic-2025-0-4","The bus route needs more frequent service in the western neighborhood. Participants compare several local options.","2025","south","survey","true"
"synthetic-2023-0-5","Commuters wait for crowded trains in the western neighborhood. Access matters for daily routines.","2023","south","forum","true"
"synthetic-2024-0-5","Commuters wait for crowded trains in the western neighborhood. The current arrangement requires careful planning.","2024","south","forum","true"
"synthetic-2025-0-5","Commuters wait for crowded trains in the western neighborhood. Participants compare several local options.","2025","south","forum","true"
"synthetic-2023-0-6","Residents request reliable public transport in the western neighborhood. Access matters for daily routines.","2023","north","survey","true"
"synthetic-2024-0-6","Residents request reliable public transport in the western neighborhood. The current arrangement requires careful planning.","2024","north","survey","true"
"synthetic-2025-0-6","Residents request reliable public transport in the western neighborhood. Participants compare several local options.","2025","north","survey","true"
"synthetic-2023-0-7","A new bicycle lane would improve the commute in the western neighborhood. Access matters for daily routines. Tenants struggle with rising apartment rent.","2023","south","forum","true"
"synthetic-2024-0-7","A new bicycle lane would improve the commute in the western neighborhood. The current arrangement requires careful planning. Tenants struggle with rising apartment rent.","2024","south","forum","true"
"synthetic-2025-0-7","A new bicycle lane would improve the commute in the western neighborhood. Participants compare several local options. Tenants struggle with rising apartment rent.","2025","south","forum","true"
"synthetic-2023-0-8","The bus route needs more frequent service around the university district. Access matters for daily routines.","2023","south","survey","true"
"synthetic-2024-0-8","The bus route needs more frequent service around the university district. The current arrangement requires careful planning.","2024","south","survey","true"
"synthetic-2025-0-8","The bus route needs more frequent service around the university district. Participants compare several local options.","2025","south","survey","true"
"synthetic-2023-0-9","Commuters wait for crowded trains around the university district. Access matters for daily routines.","2023","north","forum","true"
"synthetic-2024-0-9","Commuters wait for crowded trains around the university district. The current arrangement requires careful planning.","2024","north","forum","true"
"synthetic-2025-0-9","Commuters wait for crowded trains around the university district. Participants compare several local options.","2025","north","forum","true"
"synthetic-2023-0-10","Residents request reliable public transport around the university district. Access matters for daily routines.","2023","south","survey","true"
"synthetic-2024-0-10","Residents request reliable public transport around the university district. The current arrangement requires careful planning.","2024","south","survey","true"
"synthetic-2025-1-0","Tenants struggle with rising apartment rent near the central station. Participants compare several local options. Energy bills increased during cold weather.","2025","south","survey","true"
"synthetic-2023-0-11","A new bicycle lane would improve the commute around the university district. Access matters for daily routines.","2023","south","forum","true"
"synthetic-2024-0-11","A new bicycle lane would improve the commute around the university district. The current arrangement requires careful planning.","2024","south","forum","true"
"synthetic-2025-1-1","Affordable housing remains difficult to find near the central station. Participants compare several local options.","2025","north","forum","true"
"synthetic-2023-0-12","The bus route needs more frequent service in the northern suburb. Access matters for daily routines.","2023","north","survey","true"
"synthetic-2024-0-12","The bus route needs more frequent service in the northern suburb. The current arrangement requires careful planning.","2024","north","survey","true"
"synthetic-2025-1-2","Residents request repairs in rental buildings near the central station. Participants compare several local options.","2025","south","survey","true"
"synthetic-2023-0-13","Commuters wait for crowded trains in the northern suburb. Access matters for daily routines.","2023","south","forum","true"
"synthetic-2024-0-13","Commuters wait for crowded trains in the northern suburb. The current arrangement requires careful planning.","2024","south","forum","true"
"synthetic-2025-1-3","Families need stable leases and housing support near the central station. Participants compare several local options.","2025","south","forum","true"
"synthetic-2023-0-14","Residents request reliable public transport in the northern suburb. Access matters for daily routines. Families need stable leases and housing support.","2023","south","survey","true"
"synthetic-2024-0-14","Residents request reliable public transport in the northern suburb. The current arrangement requires careful planning. Families need stable leases and housing support.","2024","south","survey","true"
"synthetic-2025-1-4","Tenants struggle with rising apartment rent in the western neighborhood. Participants compare several local options.","2025","north","survey","true"
"synthetic-2023-0-15","A new bicycle lane would improve the commute in the northern suburb. Access matters for daily routines.","2023","north","forum","true"
"synthetic-2024-0-15","A new bicycle lane would improve the commute in the northern suburb. The current arrangement requires careful planning.","2024","north","forum","true"
"synthetic-2025-1-5","Affordable housing remains difficult to find in the western neighborhood. Participants compare several local options.","2025","south","forum","true"
"synthetic-2023-0-16","The bus route needs more frequent service beside the public library. Access matters for daily routines.","2023","south","survey","true"
"synthetic-2024-0-16","The bus route needs more frequent service beside the public library. The current arrangement requires careful planning.","2024","south","survey","true"
"synthetic-2025-1-6","Residents request repairs in rental buildings in the western neighborhood. Participants compare several local options.","2025","south","survey","true"
"synthetic-2023-0-17","Commuters wait for crowded trains beside the public library. Access matters for daily routines.","2023","south","forum","true"
"synthetic-2024-0-17","Commuters wait for crowded trains beside the public library. The current arrangement requires careful planning.","2024","south","forum","true"
"synthetic-2025-1-7","Families need stable leases and housing support in the western neighborhood. Participants compare several local options. Households discuss rooftop solar panels.","2025","north","forum","true"
"synthetic-2023-0-18","Residents request reliable public transport beside the public library. Access matters for daily routines.","2023","north","survey","true"
"synthetic-2024-0-18","Residents request reliable public transport beside the public library. The current arrangement requires careful planning.","2024","north","survey","true"
"synthetic-2025-1-8","Tenants struggle with rising apartment rent around the university district. Participants compare several local options.","2025","south","survey","true"
"synthetic-2023-0-19","A new bicycle lane would improve the commute beside the public library. Access matters for daily routines.","2023","south","forum","true"
"synthetic-2024-0-19","A new bicycle lane would improve the commute beside the public library. The current arrangement requires careful planning.","2024","south","forum","true"
"synthetic-2025-1-9","Affordable housing remains difficult to find around the university district. Participants compare several local options.","2025","south","forum","true"
"synthetic-2023-0-20","The bus route needs more frequent service near the central station. The current arrangement requires careful planning.","2023","south","survey","true"
"synthetic-2024-1-0","Tenants struggle with rising apartment rent near the central station. The current arrangement requires careful planning. Energy bills increased during cold weather.","2024","south","survey","true"
"synthetic-2025-1-10","Residents request repairs in rental buildings around the university district. Participants compare several local options.","2025","north","survey","true"
"synthetic-2023-0-21","Commuters wait for crowded trains near the central station. The current arrangement requires careful planning. Residents request repairs in rental buildings.","2023","north","forum","true"
"synthetic-2024-1-1","Affordable housing remains difficult to find near the central station. The current arrangement requires careful planning.","2024","north","forum","true"
"synthetic-2025-1-11","Families need stable leases and housing support around the university district. Participants compare several local options.","2025","south","forum","true"
"synthetic-2023-0-22","Residents request reliable public transport near the central station. The current arrangement requires careful planning.","2023","south","survey","true"
"synthetic-2024-1-2","Residents request repairs in rental buildings near the central station. The current arrangement requires careful planning.","2024","south","survey","true"
"synthetic-2025-1-12","Tenants struggle with rising apartment rent in the northern suburb. Participants compare several local options.","2025","south","survey","true"
"synthetic-2023-0-23","A new bicycle lane would improve the commute near the central station. The current arrangement requires careful planning.","2023","south","forum","true"
"synthetic-2024-1-3","Families need stable leases and housing support near the central station. The current arrangement requires careful planning.","2024","south","forum","true"
"synthetic-2025-1-13","Affordable housing remains difficult to find in the northern suburb. Participants compare several local options.","2025","north","forum","true"
"synthetic-2023-0-24","The bus route needs more frequent service in the western neighborhood. The current arrangement requires careful planning.","2023","north","survey","true"
"synthetic-2024-1-4","Tenants struggle with rising apartment rent in the western neighborhood. The current arrangement requires careful planning.","2024","north","survey","true"
"synthetic-2025-1-14","Residents request repairs in rental buildings in the northern suburb. Participants compare several local options. Electricity savings depend on efficient heating.","2025","south","survey","true"
"synthetic-2023-0-25","Commuters wait for crowded trains in the western neighborhood. The current arrangement requires careful planning.","2023","south","forum","true"
"synthetic-2024-1-5","Affordable housing remains difficult to find in the western neighborhood. The current arrangement requires careful planning.","2024","south","forum","true"
"synthetic-2025-1-15","Families need stable leases and housing support in the northern suburb. Participants compare several local options.","2025","south","forum","true"
"synthetic-2023-0-26","Residents request reliable public transport in the western neighborhood. The current arrangement requires careful planning.","2023","south","survey","true"
"synthetic-2024-1-6","Residents request repairs in rental buildings in the western neighborhood. The current arrangement requires careful planning.","2024","south","survey","true"
"synthetic-2025-1-16","Tenants struggle with rising apartment rent beside the public library. Participants compare several local options.","2025","north","survey","true"
"synthetic-2023-0-27","A new bicycle lane would improve the commute in the western neighborhood. The current arrangement requires careful planning.","2023","north","forum","true"
"synthetic-2024-1-7","Families need stable leases and housing support in the western neighborhood. The current arrangement requires careful planning. Households discuss rooftop solar panels.","2024","north","forum","true"
"synthetic-2025-1-17","Affordable housing remains difficult to find beside the public library. Participants compare several local options.","2025","south","forum","true"
"synthetic-2023-0-28","The bus route needs more frequent service around the university district. The current arrangement requires careful planning. Affordable housing remains difficult to find.","2023","south","survey","true"
"synthetic-2024-1-8","Tenants struggle with rising apartment rent around the university district. The current arrangement requires careful planning.","2024","south","survey","true"
"synthetic-2025-1-18","Residents request repairs in rental buildings beside the public library. Participants compare several local options.","2025","south","survey","true"
"synthetic-2023-0-29","Commuters wait for crowded trains around the university district. The current arrangement requires careful planning.","2023","south","forum","true"
"synthetic-2024-1-9","Affordable housing remains difficult to find around the university district. The current arrangement requires careful planning.","2024","south","forum","true"
"synthetic-2025-1-19","Families need stable leases and housing support beside the public library. Participants compare several local options.","2025","north","forum","true"
"synthetic-2023-1-0","Tenants struggle with rising apartment rent near the central station. Access matters for daily routines. Energy bills increased during cold weather.","2023","south","survey","true"
"synthetic-2024-1-10","Residents request repairs in rental buildings around the university district. The current arrangement requires careful planning.","2024","north","survey","true"
