feedback_id,channel,month,rating,review
F001,Web,2026-07,5,"The delivery arrived within the promised window, but the courier left the parcel outside without calling. I only saw the notification after work. I would like to choose a safe delivery location before the parcel arrives. This was my first purchase here, so I depended on the page instructions to understand the next step."
F002,App,2026-08,5,"I waited a long time to contact support about a return. The first reply was only a link to the policy. A second member of staff explained the collection process and finally helped resolve my question. This was my first purchase here, so I depended on the page instructions to understand the next step."
F003,Web,2026-09,2,"The charging socket felt loose when I opened the package. After two days the product would not charge. Support offered a replacement, but the order page did not tell me when the new unit would be shipped. This was my first purchase here, so I depended on the page instructions to understand the next step."
F004,App,2026-07,2,"The promotion advertised a discount above a spending threshold, but checkout said my coupon could not be combined with it. The final price was higher than expected. A concrete example of eligible discounts would help. This was my first purchase here, so I depended on the page instructions to understand the next step."
F005,Web,2026-08,3,"I bought the product for a family member. The instruction booklet has very small print and is difficult to follow. The device works, but clearer pictures and a large print guide would make setup easier. This was my first purchase here, so I depended on the page instructions to understand the next step."
F006,App,2026-09,4,"Delivery was faster than expected and the protective packaging kept everything intact. Support proactively explained the installation steps. The product works as described, and the whole purchase was straightforward. This was my first purchase here, so I depended on the page instructions to understand the next step."
F007,App,2026-07,3,"The delivery arrived within the promised window, but the courier left the parcel outside without calling. I only saw the notification after work. I would like to choose a safe delivery location before the parcel arrives. I have bought similar products before, but this process was different and needed clarification."
F008,App,2026-08,4,"I waited a long time to contact support about a return. The first reply was only a link to the policy. A second member of staff explained the collection process and finally helped resolve my question. I have bought similar products before, but this process was different and needed clarification."
F009,App,2026-09,4,"The charging socket felt loose when I opened the package. After two days the product would not charge. Support offered a replacement, but the order page did not tell me when the new unit would be shipped. I have bought similar products before, but this process was different and needed clarification."
F010,Web,2026-07,5,"The promotion advertised a discount above a spending threshold, but checkout said my coupon could not be combined with it. The final price was higher than expected. A concrete example of eligible discounts would help. I have bought similar products before, but this process was different and needed clarification."
F011,App,2026-08,2,"I bought the product for a family member. The instruction booklet has very small print and is difficult to follow. The device works, but clearer pictures and a large print guide would make setup easier. I have bought similar products before, but this process was different and needed clarification."
F012,Web,2026-09,2,"Delivery was faster than expected and the protective packaging kept everything intact. Support proactively explained the installation steps. The product works as described, and the whole purchase was straightforward. I have bought similar products before, but this process was different and needed clarification."
F013,App,2026-07,5,"The delivery arrived within the promised window, but the courier left the parcel outside without calling. I only saw the notification after work. I would like to choose a safe delivery location before the parcel arrives. I needed the order for a weekday activity, so timely notifications mattered to my planning."
F014,App,2026-08,3,"I waited a long time to contact support about a return. The first reply was only a link to the policy. A second member of staff explained the collection process and finally helped resolve my question. I needed the order for a weekday activity, so timely notifications mattered to my planning."
